respondent_id,efficacy,side_effects,cost,dosing,choice
0,60% symptom reduction,Low,150,Weekly (Injection),0
1,60% symptom reduction,Low,100,Daily (Pill),1
2,60% symptom reduction,High,150,Weekly (Injection),1
3,50% symptom reduction,Low,150,Daily (Pill),0
4,50% symptom reduction,Low,50,Weekly (Injection),1
5,50% symptom reduction,Low,100,Daily (Pill),0
6,50% symptom reduction,Medium,100,Daily (Pill),1
7,50% symptom reduction,Low,100,Daily (Pill),1
8,60% symptom reduction,High,150,Weekly (Injection),1
9,60% symptom reduction,High,50,Weekly (Injection),0
10,60% symptom reduction,High,100,Weekly (Injection),1
11,60% symptom reduction,Low,50,Weekly (Injection),1
12,50% symptom reduction,Medium,100,Weekly (Injection),1
13,60% symptom reduction,Low,150,Daily (Pill),1
14,70% symptom reduction,High,100,Daily (Pill),1
15,70% symptom reduction,Low,150,Daily (Pill),1
16,70% symptom reduction,Low,50,Weekly (Injection),1
17,50% symptom reduction,High,100,Daily (Pill),0
18,70% symptom reduction,Medium,50,Weekly (Injection),1
19,70% symptom reduction,Medium,100,Daily (Pill),0
20,60% symptom reduction,Low,50,Daily (Pill),0
21,70% symptom reduction,High,100,Daily (Pill),1
22,50% symptom reduction,High,100,Daily (Pill),0
23,70% symptom reduction,High,150,Weekly (Injection),1
24,50% symptom reduction,Low,100,Weekly (Injection),1
25,60% symptom reduction,High,100,Daily (Pill),0
26,60% symptom reduction,Low,150,Weekly (Injection),1
27,60% symptom reduction,Low,50,Daily (Pill),1
28,50% symptom reduction,Medium,100,Weekly (Injection),1
29,60% symptom reduction,Low,50,Daily (Pill),1
30,60% symptom reduction,Low,100,Weekly (Injection),1
31,70% symptom reduction,High,150,Daily (Pill),0
32,70% symptom reduction,Medium,100,Daily (Pill),1
33,70% symptom reduction,High,50,Weekly (Injection),1
34,60% symptom reduction,High,100,Daily (Pill),0
35,70% symptom reduction,Medium,100,Daily (Pill),1
36,70% symptom reduction,Medium,50,Weekly (Injection),1
37,50% symptom reduction,Low,150,Daily (Pill),0
38,70% symptom reduction,Medium,150,Weekly (Injection),1
39,60% symptom reduction,Medium,50,Weekly (Injection),1
40,70% symptom reduction,Low,50,Weekly (Injection),1
41,70% symptom reduction,Low,100,Daily (Pill),1
42,70% symptom reduction,High,100,Daily (Pill),1
43,60% symptom reduction,High,150,Weekly (Injection),1
44,60% symptom reduction,Low,50,Daily (Pill),1
45,60% symptom reduction,Medium,100,Weekly (Injection),0
46,70% symptom reduction,High,100,Weekly (Injection),1
47,50% symptom reduction,High,100,Daily (Pill),0
48,70% symptom reduction,Low,100,Weekly (Injection),1
49,70% symptom reduction,Low,50,Daily (Pill),1
50,70% symptom reduction,Low,50,Weekly (Injection),1
51,50% symptom reduction,Medium,50,Weekly (Injection),1
52,60% symptom reduction,High,50,Daily (Pill),1
53,60% symptom reduction,Medium,150,Weekly (Injection),0
54,70% symptom reduction,Low,150,Weekly (Injection),1
55,60% symptom reduction,High,100,Weekly (Injection),1
56,70% symptom reduction,Low,150,Weekly (Injection),1
57,60% symptom reduction,Low,150,Weekly (Injection),0
58,50% symptom reduction,High,150,Daily (Pill),0
59,70% symptom reduction,Medium,50,Daily (Pill),1
60,60% symptom reduction,High,50,Weekly (Injection),0
61,50% symptom reduction,High,100,Weekly (Injection),0
62,60% symptom reduction,Low,50,Weekly (Injection),1
63,70% symptom reduction,Medium,50,Weekly (Injection),1
64,60% symptom reduction,High,100,Daily (Pill),0
65,70% symptom reduction,Low,100,Daily (Pill),1
66,50% symptom reduction,Low,50,Weekly (Injection),0
67,60% symptom reduction,High,100,Daily (Pill),0
68,70% symptom reduction,Low,50,Weekly (Injection),1
69,70% symptom reduction,High,100,Weekly (Injection),0
70,50% symptom reduction,Medium,150,Daily (Pill),0
71,50% symptom reduction,High,50,Daily (Pill),0
72,60% symptom reduction,Low,150,Weekly (Injection),1
73,50% symptom reduction,High,150,Daily (Pill),1
74,70% symptom reduction,Medium,100,Daily (Pill),1
75,70% symptom reduction,Medium,50,Daily (Pill),1
76,70% symptom reduction,High,100,Weekly (Injection),1
77,50% symptom reduction,High,50,Daily (Pill),1
78,50% symptom reduction,High,50,Daily (Pill),0
79,50% symptom reduction,Medium,50,Weekly (Injection),0
80,60% symptom reduction,High,50,Daily (Pill),0
81,70% symptom reduction,Medium,150,Weekly (Injection),0
82,70% symptom reduction,High,100,Weekly (Injection),1
83,70% symptom reduction,Low,150,Daily (Pill),0
84,60% symptom reduction,High,50,Daily (Pill),0
85,50% symptom reduction,Low,150,Daily (Pill),1
86,50% symptom reduction,High,150,Daily (Pill),1
87,60% symptom reduction,Medium,150,Weekly (Injection),0
88,60% symptom reduction,High,150,Weekly (Injection),1
89,70% symptom reduction,Medium,50,Daily (Pill),1
90,60% symptom reduction,Medium,50,Daily (Pill),1
91,50% symptom reduction,High,150,Daily (Pill),0
92,60% symptom reduction,Low,100,Daily (Pill),1
93,60% symptom reduction,High,50,Weekly (Injection),0
94,50% symptom reduction,Medium,50,Daily (Pill),0
95,60% symptom reduction,High,100,Weekly (Injection),1
96,70% symptom reduction,High,50,Daily (Pill),1
97,50% symptom reduction,Low,50,Daily (Pill),0
98,50% symptom reduction,High,100,Daily (Pill),1
99,50% symptom reduction,Low,150,Daily (Pill),1
100,50% symptom reduction,High,150,Daily (Pill),0
101,70% symptom reduction,Low,50,Daily (Pill),0
102,60% symptom reduction,Low,50,Weekly (Injection),1
103,70% symptom reduction,Low,150,Daily (Pill),1
104,60% symptom reduction,Low,150,Weekly (Injection),0
105,50% symptom reduction,Medium,100,Weekly (Injection),0
106,70% symptom reduction,Low,50,Weekly (Injection),0
107,70% symptom reduction,Low,150,Weekly (Injection),1
108,60% symptom reduction,Low,150,Weekly (Injection),0
109,50% symptom reduction,High,100,Weekly (Injection),0
110,60% symptom reduction,High,100,Weekly (Injection),0
111,50% symptom reduction,High,100,Weekly (Injection),0
112,50% symptom reduction,Low,50,Weekly (Injection),0
113,60% symptom reduction,Medium,50,Daily (Pill),1
114,50% symptom reduction,High,50,Daily (Pill),0
115,60% symptom reduction,Medium,100,Weekly (Injection),1
116,70% symptom reduction,Low,150,Weekly (Injection),1
117,70% symptom reduction,High,50,Weekly (Injection),1
118,50% symptom reduction,High,150,Daily (Pill),1
119,60% symptom reduction,Medium,150,Daily (Pill),1
120,70% symptom reduction,Medium,100,Weekly (Injection),1
121,60% symptom reduction,Low,100,Daily (Pill),1
122,50% symptom reduction,High,150,Daily (Pill),0
123,70% symptom reduction,Low,50,Daily (Pill),1
124,60% symptom reduction,High,50,Weekly (Injection),1
125,60% symptom reduction,Low,50,Daily (Pill),0
126,50% symptom reduction,Low,150,Daily (Pill),0
127,60% symptom reduction,Low,150,Weekly (Injection),1
128,60% symptom reduction,Low,50,Daily (Pill),0
129,50% symptom reduction,Medium,100,Weekly (Injection),1
130,70% symptom reduction,High,100,Weekly (Injection),1
131,50% symptom reduction,High,150,Daily (Pill),0
132,60% symptom reduction,Low,50,Weekly (Injection),1
133,70% symptom reduction,Low,50,Daily (Pill),1
134,50% symptom reduction,Medium,150,Weekly (Injection),0
135,70% symptom reduction,High,150,Daily (Pill),1
136,70% symptom reduction,Low,50,Daily (Pill),1
137,50% symptom reduction,Medium,100,Weekly (Injection),0
138,60% symptom reduction,Medium,150,Daily (Pill),1
139,70% symptom reduction,Low,100,Weekly (Injection),1
140,70% symptom reduction,Low,50,Weekly (Injection),1
141,50% symptom reduction,Medium,100,Weekly (Injection),1
142,60% symptom reduction,Medium,50,Weekly (Injection),0
143,60% symptom reduction,Medium,50,Weekly (Injection),1
144,60% symptom reduction,Medium,100,Daily (Pill),0
145,60% symptom reduction,Low,150,Weekly (Injection),0
146,70% symptom reduction,Medium,50,Weekly (Injection),1
147,50% symptom reduction,Low,50,Weekly (Injection),0
148,50% symptom reduction,High,150,Weekly (Injection),0
149,60% symptom reduction,High,150,Weekly (Injection),0
150,70% symptom reduction,Medium,50,Weekly (Injection),0
151,70% symptom reduction,Low,50,Weekly (Injection),1
152,70% symptom reduction,Low,150,Daily (Pill),0
153,60% symptom reduction,Low,100,Weekly (Injection),1
154,50% symptom reduction,High,50,Weekly (Injection),1
155,50% symptom reduction,High,150,Daily (Pill),0
156,70% symptom reduction,High,150,Weekly (Injection),0
157,60% symptom reduction,High,50,Weekly (Injection),0
158,60% symptom reduction,Medium,50,Weekly (Injection),1
159,70% symptom reduction,Medium,150,Weekly (Injection),0
160,60% symptom reduction,Medium,50,Daily (Pill),1
161,60% symptom reduction,High,100,Weekly (Injection),1
162,70% symptom reduction,Low,100,Weekly (Injection),1
163,70% symptom reduction,Low,150,Weekly (Injection),1
164,60% symptom reduction,Low,100,Daily (Pill),1
165,60% symptom reduction,High,150,Daily (Pill),1
166,70% symptom reduction,Low,50,Daily (Pill),1
167,50% symptom reduction,Medium,100,Weekly (Injection),0
168,60% symptom reduction,Medium,100,Daily (Pill),1
169,60% symptom reduction,Medium,100,Weekly (Injection),1
170,60% symptom reduction,High,50,Daily (Pill),0
171,70% symptom reduction,Low,150,Daily (Pill),0
172,60% symptom reduction,Low,50,Weekly (Injection),0
173,60% symptom reduction,Low,150,Daily (Pill),0
174,70% symptom reduction,Medium,150,Weekly (Injection),0
175,70% symptom reduction,Low,50,Daily (Pill),1
176,70% symptom reduction,Low,100,Daily (Pill),1
177,70% symptom reduction,Low,100,Weekly (Injection),1
178,50% symptom reduction,Medium,150,Daily (Pill),1
179,70% symptom reduction,Low,100,Daily (Pill),1
180,50% symptom reduction,High,100,Weekly (Injection),0
181,50% symptom reduction,Medium,100,Weekly (Injection),1
182,70% symptom reduction,Low,50,Weekly (Injection),1
183,50% symptom reduction,High,150,Daily (Pill),0
184,70% symptom reduction,Medium,150,Weekly (Injection),1
185,60% symptom reduction,Low,100,Weekly (Injection),0
186,60% symptom reduction,High,100,Weekly (Injection),1
187,60% symptom reduction,High,100,Daily (Pill),1
188,50% symptom reduction,High,50,Weekly (Injection),1
189,70% symptom reduction,High,100,Daily (Pill),1
190,60% symptom reduction,Low,50,Daily (Pill),0
191,60% symptom reduction,Medium,100,Weekly (Injection),1
192,70% symptom reduction,High,50,Weekly (Injection),0
193,60% symptom reduction,High,100,Weekly (Injection),0
194,60% symptom reduction,High,50,Weekly (Injection),0
195,70% symptom reduction,Medium,150,Weekly (Injection),0
196,50% symptom reduction,High,50,Weekly (Injection),0
197,60% symptom reduction,High,100,Daily (Pill),0
198,50% symptom reduction,High,100,Weekly (Injection),1
199,70% symptom reduction,Medium,100,Weekly (Injection),0
200,70% symptom reduction,Medium,100,Daily (Pill),1
201,70% symptom reduction,Medium,100,Weekly (Injection),1
202,60% symptom reduction,High,150,Daily (Pill),0
203,60% symptom reduction,Low,150,Daily (Pill),0
204,70% symptom reduction,Medium,150,Weekly (Injection),1
205,60% symptom reduction,Low,150,Daily (Pill),0
206,50% symptom reduction,High,50,Weekly (Injection),0
207,60% symptom reduction,Low,150,Weekly (Injection),1
208,50% symptom reduction,High,50,Weekly (Injection),0
209,70% symptom reduction,High,50,Daily (Pill),1
210,70% symptom reduction,Low,100,Daily (Pill),1
211,70% symptom reduction,Low,100,Daily (Pill),1
212,50% symptom reduction,High,50,Daily (Pill),0
213,50% symptom reduction,High,150,Daily (Pill),0
214,60% symptom reduction,Medium,100,Daily (Pill),1
215,60% symptom reduction,High,150,Daily (Pill),1
216,50% symptom reduction,Medium,150,Weekly (Injection),1
217,50% symptom reduction,Low,150,Daily (Pill),0
218,70% symptom reduction,High,150,Weekly (Injection),1
219,50% symptom reduction,Medium,50,Weekly (Injection),0
220,60% symptom reduction,Low,50,Daily (Pill),1
221,70% symptom reduction,High,100,Daily (Pill),1
222,70% symptom reduction,Low,50,Daily (Pill),1
223,50% symptom reduction,High,150,Daily (Pill),1
224,60% symptom reduction,Low,50,Daily (Pill),1
225,60% symptom reduction,Low,50,Daily (Pill),1
226,60% symptom reduction,Medium,100,Daily (Pill),0
227,70% symptom reduction,Low,150,Weekly (Injection),1
228,60% symptom reduction,Medium,50,Weekly (Injection),0
229,50% symptom reduction,Low,50,Weekly (Injection),1
230,50% symptom reduction,Medium,50,Daily (Pill),0
231,70% symptom reduction,High,100,Weekly (Injection),0
232,70% symptom reduction,Low,150,Daily (Pill),1
233,60% symptom reduction,Low,150,Daily (Pill),0
234,60% symptom reduction,High,50,Daily (Pill),1
235,70% symptom reduction,Low,100,Daily (Pill),1
236,50% symptom reduction,High,50,Daily (Pill),0
237,50% symptom reduction,Medium,100,Weekly (Injection),0
238,60% symptom reduction,Low,150,Daily (Pill),0
239,60% symptom reduction,High,150,Daily (Pill),1
240,70% symptom reduction,Medium,150,Weekly (Injection),1
241,60% symptom reduction,High,100,Weekly (Injection),0
242,50% symptom reduction,Low,50,Daily (Pill),1
243,70% symptom reduction,High,150,Daily (Pill),0
